country score
Austra  7
Estonia 6
Slovenia    9
Croatia 1
Denmark 6
Russia  7
Ukraine 8
Netherlands 3
Montenegro  5
Lithuania   5
Belarus 4
Moldova 4
Ireland 8
Cyprus  5
Belgium 8
Serbia  7
